レシートNo,年月日時分,年月日,年月,年,月,日,曜日,時間帯,時間,商品大分類,商品中分類,商品小分類,商品単価,商品数量,合計金額
536365,2010/12/1 8:26,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,08時台,8:26,魚介類,生鮮魚介,さば,424,6,2544
536368,2010/12/1 8:34,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,08時台,8:34,果物,生鮮果物,ぶどう,619,3,1857
536370,2010/12/1 8:45,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,08時台,8:45,野菜・海藻,乾物・海藻,干しのり,53,24,1272
536373,2010/12/1 9:02,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:02,魚介類,生鮮魚介,たい,869,4,3476
536373,2010/12/1 9:02,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:02,野菜・海藻,生鮮野菜,じゃがいも,263,6,1578
536378,2010/12/1 9:37,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:37,肉類,加工肉,ハム,244,10,2440
536378,2010/12/1 9:37,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:37,魚介類,塩干魚介,干しあじ,369,10,3690
536381,2010/12/1 9:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:41,魚介類,塩干魚介,干しあじ,369,4,1476
536381,2010/12/1 9:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:41,肉類,加工肉,ハム,244,1,244
536381,2010/12/1 9:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:41,魚介類,塩干魚介,干しあじ,369,1,369
536381,2010/12/1 9:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:41,魚介類,塩干魚介,干しあじ,369,2,738
536381,2010/12/1 9:41,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:41,肉類,加工肉,ソーセージ,494,3,1482
536382,2010/12/1 9:45,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:45,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
536382,2010/12/1 9:45,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:45,肉類,加工肉,ハム,244,10,2440
536384,2010/12/1 9:53,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:53,魚介類,魚肉練製品,ちくわ,81,48,3888
536384,2010/12/1 9:53,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:53,野菜・海藻,生鮮野菜,にんじん,181,40,7240
536384,2010/12/1 9:53,2010年-12月-01日,2010年-12月,2010年,12月,01日,3_水曜日,09時台,9:53,魚介類,生鮮魚介,ぶり,744,3,2232
