注文番号,店舗名,来店曜日,来店時間帯,滞留時間,性別,年齢層,年齢,合計金額,フラグ
6,01A,07日,03夜間,534.98,01男,04中年,58,1104,0
10,01A,03水,03夜間,2484,01男,02中高生,16,126,0
16,01A,02火,02日中,745.52,01男,02中高生,15,418,0
17,01A,04木,02日中,35.04,01男,02中高生,13,549,0
20,01A,01月,03夜間,459.99,01男,04中年,48,1480,0
28,01A,01月,01朝,1091.88,01男,04中年,37,394,0
32,01A,01月,03夜間,429.72,01男,05壮年,64,1079,0
37,01A,07日,02日中,301.81,01男,04中年,39,449,0
38,01A,04木,03夜間,64.02,01男,03青年,20,542,0
42,01A,03水,03夜間,2207,01男,02中高生,18,86,0
43,01A,02火,02日中,1131.86,01男,04中年,57,327,0
47,01A,07日,01朝,912.34,01男,02中高生,13,442,0
57,01A,02火,03夜間,410.72,01男,03青年,21,715,0
58,01A,06土,02日中,653.86,01男,02中高生,17,406,0
65,01A,02火,03夜間,796.92,01男,05壮年,61,479,0
66,01A,06土,03夜間,989.97,01男,04中年,58,796,0
67,01A,01月,02日中,388.38,01男,05壮年,75,298,0
77,01A,07日,02日中,457.64,01男,04中年,58,420,0
78,01A,01月,03夜間,1263.8,01男,03青年,24,779,0
82,01A,07日,02日中,532.84,01男,02中高生,16,292,0
94,01A,04木,03夜間,339,01男,02中高生,18,580,0
96,01A,04木,03夜間,70,01男,02中高生,13,324,0
97,01A,01月,01朝,467.31,01男,03青年,20,110,0
104,01A,01月,03夜間,561.07,01男,04中年,44,1151,0
106,01A,06土,02日中,598.68,01男,03青年,22,623,0
126,01A,05金,01朝,266.17,01男,03青年,26,198,0
128,01A,02火,02日中,749.39,01男,04中年,48,355,0
134,01A,01月,02日中,713.61,01男,03青年,32,413,0
135,01A,03水,01朝,890.55,01男,03青年,26,563,0
138,01A,03水,01朝,1163.77,01男,02中高生,15,527,0
154,01A,06土,01朝,565.58,01男,03青年,22,716,0
156,01A,04木,03夜間,459.69,01男,04中年,51,1404,0
161,01A,06土,03夜間,391.05,01男,04中年,45,609,0
165,01A,03水,03夜間,729.92,01男,04中年,55,1424,0
170,01A,06土,02日中,729.78,01男,03青年,23,316,0
172,01A,05金,03夜間,773.1,01男,03青年,35,782,0
182,01A,02火,02日中,645.35,01男,04中年,40,437,0
184,01A,02火,03夜間,493.45,01男,03青年,19,808,0
187,01A,02火,03夜間,814.07,01男,05壮年,96,1279,0
189,01A,04木,03夜間,37.97,01男,03青年,27,716,0
192,01A,02火,03夜間,1313.58,01男,03青年,23,118,0
198,01A,07日,03夜間,638.8,01男,03青年,28,1610,0
205,01A,01月,02日中,1421.31,01男,02中高生,17,509,0
207,01A,04木,02日中,442.05,01男,03青年,23,295,0
208,01A,07日,03夜間,924.97,01男,04中年,37,636,0
218,01A,06土,01朝,303.79,01男,05壮年,79,1006,0
225,01A,05金,01朝,127.55,01男,03青年,25,652,0
226,01A,03水,02日中,272.62,01男,02中高生,18,433,0
227,01A,04木,01朝,598.91,01男,05壮年,79,609,0
230,01A,04木,03夜間,137.33,01男,04中年,42,602,0
241,01A,06土,02日中,1766.86,01男,02中高生,16,498,0
254,01A,07日,03夜間,557.45,01男,03青年,34,761,0
255,01A,01月,03夜間,1668,01男,02中高生,17,240,0
256,01A,06土,03夜間,2005,01男,01小児,11,151,0
257,01A,03水,01朝,110.53,01男,03青年,22,263,0
261,01A,06土,03夜間,315.9,01男,04中年,48,490,0
274,01A,06土,02日中,424.54,01男,05壮年,65,324,0
278,01A,05金,03夜間,2285,01男,01小児,11,71,0
281,01A,03水,03夜間,543,01男,02中高生,13,939,0
283,01A,04木,02日中,47.33,01男,04中年,43,617,0
285,01A,02火,02日中,213.37,01男,01小児,12,382,0
286,01A,04木,03夜間,80.7,01男,04中年,38,575,0
287,01A,03水,01朝,943.26,01男,02中高生,16,613,0
295,01A,04木,02日中,174.03,01男,02中高生,15,838,0
299,01A,05金,03夜間,182.36,01男,04中年,41,1232,0
311,01A,02火,03夜間,402.98,01男,04中年,40,616,0
315,01A,07日,03夜間,433.74,01男,04中年,39,179,0
318,01A,05金,02日中,1034.28,01男,05壮年,72,129,0
326,01A,04木,03夜間,246,01男,03青年,19,607,0
329,01A,06土,02日中,1097.61,01男,04中年,55,418,0
331,01A,01月,01朝,497.6,01男,05壮年,62,689,0
332,01A,05金,03夜間,521.55,01男,04中年,38,664,0
339,01A,05金,02日中,271.64,01男,03青年,22,342,0
346,01A,07日,03夜間,535,01男,02中高生,16,437,0
347,01A,06土,03夜間,228.47,01男,04中年,37,1149,0
350,01A,04木,01朝,1100.69,01男,02中高生,13,243,0
352,01A,05金,03夜間,400.96,01男,04中年,49,827,0
360,01A,01月,02日中,48.92,01男,04中年,41,305,0
362,01A,01月,03夜間,356.76,01男,05壮年,61,1147,0
363,01A,07日,03夜間,197.46,01男,04中年,38,593,0
367,01A,01月,03夜間,1009,01男,01小児,10,608,0
371,01A,06土,02日中,358.5,01男,04中年,49,887,0
372,01A,03水,03夜間,412.96,01男,05壮年,64,657,0
379,01A,01月,03夜間,407.64,01男,03青年,20,698,0
383,01A,03水,01朝,102.43,01男,03青年,26,391,0
392,01A,01月,01朝,839.59,01男,02中高生,18,182,0
393,01A,05金,02日中,503.6,01男,05壮年,70,105,0
412,01A,03水,03夜間,456,01男,02中高生,16,232,0
413,01A,07日,02日中,923.2,01男,03青年,29,652,0
419,01A,03水,03夜間,351,01男,02中高生,15,128,0
423,01A,05金,02日中,295.5,01男,02中高生,13,374,0
424,01A,07日,01朝,584.4,01男,03青年,32,389,0
430,01A,07日,01朝,425.78,01男,02中高生,16,557,0
433,01A,04木,01朝,396.49,01男,03青年,29,586,0
436,01A,05金,02日中,522.81,01男,05壮年,73,424,0
441,01A,03水,01朝,258.39,01男,04中年,48,324,0
445,01A,07日,03夜間,478.58,01男,04中年,38,1457,0
454,01A,04木,03夜間,274.72,01男,03青年,22,273,0
455,01A,04木,03夜間,1556,01男,02中高生,17,57,0
459,01A,06土,02日中,538.54,01男,03青年,28,198,0
461,01A,06土,02日中,189.68,01男,02中高生,16,562,0
469,01A,05金,01朝,113.85,01男,03青年,20,747,0
472,01A,01月,03夜間,1109.55,01男,02中高生,13,448,0
474,01A,06土,01朝,956.01,01男,01小児,11,606,0
476,01A,02火,01朝,194.07,01男,04中年,49,234,0
484,01A,02火,01朝,233.49,01男,03青年,20,699,0
488,01A,02火,03夜間,554.95,01男,03青年,35,742,0
491,01A,07日,02日中,1084.6,01男,05壮年,97,513,0
501,01A,06土,01朝,244.35,01男,02中高生,15,431,0
504,01A,07日,02日中,578.75,01男,05壮年,66,171,0
508,01A,06土,02日中,147.41,01男,03青年,23,424,0
514,01A,07日,02日中,680.82,01男,02中高生,15,132,0
516,01A,04木,02日中,508.21,01男,03青年,20,420,0
521,01A,01月,03夜間,676.99,01男,03青年,20,362,0
