îNåéì˙,éûçè,ïiéø,â∑ìx1,â∑ìx2,â∑ìx3,îSìx,êÖà≥,ë˜ìx,â¡ë¨ìx,è∆éÀéûä‘,ìSï™,ÉiÉgÉäÉEÉÄ,écóØâñëfîZìx,é_ëfñOòaìx
2016/8/11,3:00,C,79.232,84.992,75.992,84,108,92,9.468,81.9,0,0,0,47.668
2016/8/11,4:00,C,78.692,82.994,75.002,64,108,92,9.468,81.9,0,0,0,46.354
2016/8/11,5:00,B,78.836,84.002,75.002,74,108,92,16.668,81.9,0,0,0,76.728
2016/8/11,6:00,B,78.656,82.994,75.002,60,109,92,12.276,81.9,0,0.04,0,45.048
2016/8/11,7:00,B,79.412,84.002,75.002,69,109,92,9.252,81.9,0,0.27,0,55.017
2016/8/11,8:00,B,80.312,84.002,77,51,110,92,12.456,81.9,0,0.25,0,80.834
2016/8/11,9:00,B,81.32,84.992,77,47,110,92,12.456,81.9,0,0.39,0,32.064
2016/8/11,10:00,B,83.048,87.008,80.006,61,110,92,11.088,81.7,0,1.09,0,30.159
2016/8/11,11:00,C,85.1,91.004,80.006,39,111,92,12.492,81.7,0,2.07,0.3,47.181
2016/8/11,12:00,C,86.162,95,80.006,62,109,92,14.796,81.7,0,2.92,0.7,26.128
2016/8/11,13:00,C,87.548,93.002,80.996,39,109,92,12.492,81.7,0,2.08,0.3,52.876
2016/8/11,14:00,C,88.412,93.992,80.996,37,108,92,10.62,81.7,0,2.39,0.6,36.432
2016/8/11,15:00,C,87.89,95,80.006,37,109,92,10.62,81.7,0,2.41,0.9,43.565
2016/8/11,16:00,C,87.206,93.992,80.996,40,108,92,10.62,81.7,0,1.73,0.9,58.561
2016/8/11,17:00,C,85.946,93.002,80.996,44,109,44,9.936,81.7,0,1.16,1,49.84
2016/8/11,18:00,C,84.362,87.998,80.996,76,108,44,9.936,81.7,0,0.3,0.2,57.724
2016/8/11,19:00,C,82.418,86,80.006,58,109,44,9.936,81.7,0,0.02,0,42.429
2016/8/11,20:00,B,81.266,84.992,78.008,66,111,36,14.436,81.7,0,0,0,65.578
2016/8/11,21:00,B,80.6,84.002,77,67,111,36,14.436,81.7,0,0,0,45.17
2016/8/11,22:00,B,79.844,84.992,75.992,70,111,36,14.436,81.7,0,0,0,27.548
2016/8/11,23:00,A,79.304,84.002,75.002,78,110,8,20.34,81.7,0,0,0,55.377
2016/8/12,0:00,C,78.8,84.002,75.002,69,111,8,13.752,81.7,0,0,0,47.746
2016/8/12,1:00,B,78.494,82.994,75.002,71,111,88,10.656,81.7,0,0,0,54.947
2016/8/12,2:00,B,77.558,80.996,75.002,89,109,100,10.188,81.7,0,0,0,25.903
2016/8/12,3:00,B,77.846,82.994,75.002,74,109,100,10.188,81.7,0,0,0,35.659
2016/8/12,4:00,B,77.234,82.994,73.004,83,110,100,16.668,81.7,0,0,0,67.95
2016/8/12,5:00,B,77.09,82.994,73.004,78,110,76,9.612,81.7,0,0,0,53.944
2016/8/12,6:00,B,77.234,82.994,73.004,77,111,76,9.612,81.7,0,0.11,0,46.993
2016/8/12,7:00,B,77.9,80.996,73.994,72,110,76,9.612,81.7,0,0.36,0,56.107
